regularisation,power_w,profile_nrmse,peak_current_a
1e-10,18.98098387148905,0.017693218903126702,12.0
3.1622776601683795e-10,23.929261884334093,0.017328265750600952,12.0
1e-09,17.310628061241772,0.017576618405475537,12.0
3.1622776601683795e-09,16.43517539010472,0.017708413422023967,12.0
1e-08,13.461167963294201,0.01837576787212317,12.0
3.162277660168379e-08,6.541459058867524,0.0219763504817731,8.195859102611177
1e-07,3.693666221956532,0.025590151462443023,7.452928372774042
3.162277660168379e-07,2.5701384109290193,0.029936314412145955,7.956256442893733
1e-06,2.1808447164343345,0.03393762151211784,8.444241838948999
3.162277660168379e-06,2.024744301081183,0.03823077857766617,8.57526768929554
9.999999999999999e-06,1.7792039227986725,0.059105809459568205,8.295003108374763
