x_m,target_t,realised_t
-0.05,1.0554828226835516e-06,4.799590580793967e-07
-0.04916666666666667,1.1990474664055485e-06,4.6694791961094523e-07
-0.04833333333333333,1.3592230721857188e-06,4.742642517795988e-07
-0.0475,1.5374969262007726e-06,5.046955465720668e-07
-0.04666666666666667,1.73542932064269e-06,5.610711899905863e-07
-0.04583333333333334,1.954648909081092e-06,6.462424379907883e-07
-0.045000000000000005,2.196846681170368e-06,7.630610979869478e-07
-0.04416666666666667,2.4637684613389553e-06,9.143570477130005e-07
-0.043333333333333335,2.7572058474173913e-06,1.1029147412813073e-06
-0.0425,3.078985519434266e-06,1.3314488695952365e-06
-0.04166666666666667,3.430956866112292e-06,1.6025793585935333e-06
-0.04083333333333333,3.814977896949739e-06,1.918805903904756e-06
-0.04,4.232899431126497e-06,2.282482254124559e-06
-0.03916666666666667,4.686547580708137e-06,2.695790466863136e-06
-0.03833333333333334,5.177704574534133e-06,3.1607153717444768e-06
-0.037500000000000006,5.70808800048434e-06,3.679019482449858e-06
-0.03666666666666667,6.2793285771502645e-06,4.252218605524156e-06
-0.03583333333333333,6.8929466008398545e-06,4.881558396830957e-06
-0.035,7.550327249775446e-06,5.5679921171309945e-06
-0.034166666666666665,8.25269496368572e-06,6.31215983615597e-06
-0.03333333333333334,9.001087153051156e-06,7.114369329688375e-06
-0.0325,9.796327527285022e-06,7.974578906501861e-06
-0.03166666666666666,1.0638999364311242e-05,8.89238239154754e-06
-0.030833333333333338,1.1529419074498429e-05,9.86699647853923e-06
-0.03,1.2467610438864809e-05,1.0897250649139821e-05
-0.029166666666666674,1.3453279924025414e-05,1.1981579837396497e-05
-0.028333333333333335,1.4485793493676033e-05,1.3118019997040689e-05
-0.027499999999999997,1.5564155347705723e-05,1.430420670593336e-05
-0.026666666666666672,1.668698902458153e-05,1.5537376916490278e-05
-0.025833333333333333,1.785252129982154e-05,1.6814373933606778e-05
-0.024999999999999994,1.905856930264963e-05,1.8131655672663044e-05
-0.02416666666666667,2.0302531253925372e-05,1.948530621992496e-05
-0.02333333333333333,2.158138120093714e-05,2.0871050686363137e-05
-0.022500000000000006,2.2891668088580702e-05,2.2284273313918578e-05
-0.021666666666666667,2.4229519461950357e-05,2.372003876089948e-05
-0.02083333333333333,2.5590650042766594e-05,2.517311646084284e-05
-0.020000000000000004,2.6970375361881322e-05,2.6638007917191067e-05
-0.019166666666666665,2.8363630563060028e-05,2.810897676487579e-05
-0.01833333333333334,2.9764994420259968e-05,2.958008139974172e-05
-0.0175,3.116871853280928e-05,3.104520994803987e-05
